slot_id,service_date,raw_time_label,physical_start,physical_end,dt_hours,price_yuan_per_kwh,load_kw,pv_kw,load_kwh,pv_kwh
1,2000-01-01,0:10,00:00,00:10,0.16666666666666666,0.42480000000000001,3439.8465999999999,0,573.30776666666668,0
2,2000-01-01,0:20,00:10,00:20,0.16666666666666666,0.42449999999999999,3437.9792000000002,0,572.99653333333333,0
3,2000-01-01,0:30,00:20,00:30,0.16666666666666666,0.4269,3444.3031000000001,0,574.05051666666668,0
4,2000-01-01,0:40,00:30,00:40,0.16666666666666666,0.42720000000000002,3454.4436999999998,0,575.7406166666666,0
5,2000-01-01,0:50,00:40,00:50,0.16666666666666666,0.42709999999999998,3458.8272999999999,0,576.47121666666669,0
6,2000-01-01,1:00,00:50,01:00,0.16666666666666666,0.42849999999999999,3459.8400999999999,0,576.64001666666661,0
7,2000-01-01,1:10,01:00,01:10,0.16666666666666666,0.43109999999999998,3467.1581999999999,0,577.85969999999998,0
8,2000-01-01,1:20,01:10,01:20,0.16666666666666666,0.43020000000000003,3467.9632000000001,0,577.99386666666669,0
9,2000-01-01,1:30,01:20,01:30,0.16666666666666666,0.4279,3466.9683,0,577.82804999999996,0
10,2000-01-01,1:40,01:30,01:40,0.16666666666666666,0.43120000000000003,3482.4926999999998,0,580.41544999999996,0
11,2000-01-01,1:50,01:40,01:50,0.16666666666666666,0.43330000000000002,3495.0841,0,582.51401666666663,0
12,2000-01-01,2:00,01:50,02:00,0.16666666666666666,0.43109999999999998,3498.4443000000001,0,583.07405000000006,0
13,2000-01-01,2:10,02:00,02:10,0.16666666666666666,0.42930000000000001,3505.2294999999999,0,584.20491666666669,0
14,2000-01-01,2:20,02:10,02:20,0.16666666666666666,0.43240000000000001,3512.6387,0,585.43978333333337,0
15,2000-01-01,2:30,02:20,02:30,0.16666666666666666,0.43669999999999998,3516.8685,0,586.14475000000004,0
16,2000-01-01,2:40,02:30,02:40,0.16666666666666666,0.43480000000000002,3517.9245999999998,0,586.3207666666666,0
17,2000-01-01,2:50,02:40,02:50,0.16666666666666666,0.4335,3518.5518000000002,0,586.42529999999999,0
18,2000-01-01,3:00,02:50,03:00,0.16666666666666666,0.43569999999999998,3521.0976000000001,0,586.84960000000001,0
19,2000-01-01,3:10,03:00,03:10,0.16666666666666666,0.43740000000000001,3526.9261000000001,0,587.82101666666665,0
20,2000-01-01,3:20,03:10,03:20,0.16666666666666666,0.43709999999999999,3537.2854000000002,0,589.54756666666674,0
21,2000-01-01,3:30,03:20,03:30,0.16666666666666666,0.43559999999999999,3544.8807999999999,0,590.81346666666661,0
22,2000-01-01,3:40,03:30,03:40,0.16666666666666666,0.43530000000000002,3541.2786999999998,0,590.21311666666668,0
23,2000-01-01,3:50,03:40,03:50,0.16666666666666666,0.436,3546.3975999999998,0,591.06626666666659,0
24,2000-01-01,4:00,03:50,04:00,0.16666666666666666,0.43780000000000002,3560.2069999999999,0,593.36783333333335,0
25,2000-01-01,4:10,04:00,04:10,0.16666666666666666,0.44009999999999999,3561.9580999999998,0,593.65968333333331,0
26,2000-01-01,4:20,04:10,04:20,0.16666666666666666,0.43890000000000001,3556.7183,0,592.78638333333333,0
27,2000-01-01,4:30,04:20,04:30,0.16666666666666666,0.43640000000000001,3560.0272,0,593.33786666666663,0
28,2000-01-01,4:40,04:30,04:40,0.16666666666666666,0.43930000000000002,3580.654,0.59940000000000004,596.77566666666667,0.099900000000000003
29,2000-01-01,4:50,04:40,04:50,0.16666666666666666,0.44219999999999998,3586.9160000000002,0.23449999999999999,597.81933333333336,0.039083333333333331
30,2000-01-01,5:00,04:50,05:00,0.16666666666666666,0.4395,3571.2635,0.28849999999999998,595.21058333333337,0.048083333333333332
31,2000-01-01,5:10,05:00,05:10,0.16666666666666666,0.43330000000000002,3562.3171000000002,18.678100000000001,593.71951666666666,3.1130166666666668
32,2000-01-01,5:20,05:10,05:20,0.16666666666666666,0.44390000000000002,3591.3809000000001,54.469799999999999,598.56348333333335,9.0783000000000005
33,2000-01-01,5:30,05:20,05:30,0.16666666666666666,0.43009999999999998,3579.7044999999998,108.9718,596.6174166666666,18.161966666666668
34,2000-01-01,5:40,05:30,05:40,0.16666666666666666,0.37130000000000002,3486.1190000000001,184.16030000000001,581.01983333333339,30.693383333333333
35,2000-01-01,5:50,05:40,05:50,0.16666666666666666,0.57079999999999997,3823.8993999999998,277.0582,637.31656666666663,46.176366666666667
36,2000-01-01,6:00,05:50,06:00,0.16666666666666666,0.90990000000000004,4398.0726999999997,388.54939999999999,733.01211666666666,64.758233333333337
37,2000-01-01,6:10,06:00,06:10,0.16666666666666666,0.93679999999999997,4454.0123000000003,521.28030000000001,742.33538333333343,86.880049999999997
38,2000-01-01,6:20,06:10,06:20,0.16666666666666666,0.87580000000000002,4371.7919000000002,672.76769999999999,728.63198333333332,112.12795
39,2000-01-01,6:30,06:20,06:30,0.16666666666666666,0.87590000000000001,4392.9530000000004,844.22609999999997,732.1588333333334,140.70435000000001
40,2000-01-01,6:40,06:30,06:40,0.16666666666666666,0.86009999999999998,4384.5955999999996,1039.6744000000001,730.76593333333324,173.27906666666669
41,2000-01-01,6:50,06:40,06:50,0.16666666666666666,0.84419999999999995,4434.7757000000001,1259.3375000000001,739.12928333333332,209.88958333333335
42,2000-01-01,7:00,06:50,07:00,0.16666666666666666,0.83340000000000003,4523.4561000000003,1508.6318000000001,753.90935000000002,251.43863333333334
43,2000-01-01,7:10,07:00,07:10,0.16666666666666666,0.80920000000000003,4524.0721000000003,1791.4106999999999,754.01201666666668,298.56844999999998
44,2000-01-01,7:20,07:10,07:20,0.16666666666666666,0.79720000000000002,4545.8867,2085.4865,757.64778333333334,347.58108333333331
45,2000-01-01,7:30,07:20,07:30,0.16666666666666666,0.76439999999999997,4523.2417999999998,2381.2611000000002,753.87363333333326,396.87685000000005
46,2000-01-01,7:40,07:30,07:40,0.16666666666666666,0.68989999999999996,4383.3566000000001,2683.1752000000001,730.55943333333335,447.19586666666669
47,2000-01-01,7:50,07:40,07:50,0.16666666666666666,0.85999999999999999,4910.4598999999998,2986.3552,818.40998333333334,497.72586666666666
48,2000-01-01,8:00,07:50,08:00,0.16666666666666666,1.1617,5799.7326999999996,3289.2040000000002,966.62211666666656,548.20066666666673
49,2000-01-01,8:10,08:00,08:10,0.16666666666666666,1.1682999999999999,5884.826,3593.3613,980.80433333333337,598.89355
50,2000-01-01,8:20,08:10,08:20,0.16666666666666666,1.0955999999999999,5748.0712999999996,3890.7332000000001,958.01188333333323,648.45553333333339
51,2000-01-01,8:30,08:20,08:30,0.16666666666666666,1.0849,5769.0581000000002,4181.3416999999999,961.50968333333333,696.89028333333329
52,2000-01-01,8:40,08:30,08:40,0.16666666666666666,1.0609999999999999,5754.2105000000001,4471.7656999999999,959.03508333333332,745.29428333333328
53,2000-01-01,8:50,08:40,08:50,0.16666666666666666,1.0429999999999999,5824.1806999999999,4752.8271999999997,970.69678333333331,792.13786666666658
54,2000-01-01,9:00,08:50,09:00,0.16666666666666666,1.036,5954.2601000000004,5021.9074000000001,992.3766833333334,836.98456666666664
