slot_id,time_hour,load_kw,pv_kw,grid_optimized_kw,storage_net_kw_positive_discharge,grid_baseline_no_storage_kw
1,0.166666666667,3439.8466,0,8439.8466,-5000,3439.8466
2,0.333333333333,3437.9792,0,8437.9792,-5000,3437.9792
3,0.5,3444.3031,0,8444.3031,-5000,3444.3031
4,0.666666666667,3454.4437,0,8454.4437,-5000,3454.4437
5,0.833333333333,3458.8273,0,8458.8273,-5000,3458.8273
6,1,3459.8401,0,3459.8401,0,3459.8401
7,1.16666666667,3467.1582,0,3467.1582,0,3467.1582
8,1.33333333333,3467.9632,0,3467.9632,0,3467.9632
9,1.5,3466.9683,0,5466.9683,-2000,3466.9683
10,1.66666666667,3482.4927,0,3482.4927,0,3482.4927
11,1.83333333333,3495.0841,0,3495.0841,0,3495.0841
12,2,3498.4443,0,3498.4443,0,3498.4443
13,2.16666666667,3505.2295,0,3505.2295,0,3505.2295
14,2.33333333333,3512.6387,0,3512.6387,0,3512.6387
15,2.5,3516.8685,0,3516.8685,0,3516.8685
16,2.66666666667,3517.9246,0,3517.9246,0,3517.9246
17,2.83333333333,3518.5518,0,3518.5518,0,3518.5518
18,3,3521.0976,0,3521.0976,0,3521.0976
19,3.16666666667,3526.9261,0,3526.9261,0,3526.9261
20,3.33333333333,3537.2854,0,3537.2854,0,3537.2854
21,3.5,3544.8808,0,3544.8808,0,3544.8808
22,3.66666666667,3541.2787,0,3541.2787,0,3541.2787
23,3.83333333333,3546.3976,0,3546.3976,0,3546.3976
24,4,3560.207,0,3560.207,0,3560.207
25,4.16666666667,3561.9581,0,3561.9581,0,3561.9581
26,4.33333333333,3556.7183,0,3556.7183,0,3556.7183
27,4.5,3560.0272,0,3560.0272,0,3560.0272
28,4.66666666667,3580.654,0.5994,3580.0546,0,3580.0546
29,4.83333333333,3586.916,0.2345,3586.6815,0,3586.6815
30,5,3571.2635,0.2885,3570.975,0,3570.975
31,5.16666666667,3562.3171,18.6781,3543.639,0,3543.639
32,5.33333333333,3591.3809,54.4698,3536.9111,0,3536.9111
33,5.5,3579.7045,108.9718,3470.7327,0,3470.7327
34,5.66666666667,3486.119,184.1603,8301.9587,-5000,3301.9587
35,5.83333333333,3823.8994,277.0582,3546.8412,0,3546.8412
36,6,4398.0727,388.5494,0,4009.5233,4009.5233
37,6.16666666667,4454.0123,521.2803,0,3932.732,3932.732
38,6.33333333333,4371.7919,672.7677,0,3699.0242,3699.0242
39,6.5,4392.953,844.2261,0,3548.7269,3548.7269
40,6.66666666667,4384.5956,1039.6744,0,3344.9212,3344.9212
41,6.83333333333,4434.7757,1259.3375,0,3175.4382,3175.4382
42,7,4523.4561,1508.6318,0,3014.8243,3014.8243
43,7.16666666667,4524.0721,1791.4107,0,2732.6614,2732.6614
44,7.33333333333,4545.8867,2085.4865,0,2460.4002,2460.4002
45,7.5,4523.2418,2381.2611,0,2141.9807,2141.9807
46,7.66666666667,4383.3566,2683.1752,0.00605087192042,1700.17534913,1700.1814
47,7.83333333333,4910.4599,2986.3552,0,1924.1047,1924.1047
48,8,5799.7327,3289.204,0,2510.5287,2510.5287
49,8.16666666667,5884.826,3593.3613,0,2291.4647,2291.4647
50,8.33333333333,5748.0713,3890.7332,0,1857.3381,1857.3381
51,8.5,5769.0581,4181.3417,0,1587.7164,1587.7164
52,8.66666666667,5754.2105,4471.7657,0,1282.4448,1282.4448
53,8.83333333333,5824.1807,4752.8272,0,1071.3535,1071.3535
54,9,5954.2601,5021.9074,0,932.3527,932.3527
55,9.16666666667,5958.9696,5285.4126,0,673.557,673.557
56,9.33333333333,5929.5554,5543.1742,0,386.3812,386.3812
57,9.5,5923.7828,5788.4093,0,135.3735,135.3735
58,9.66666666667,5907.586,6012.1304,0,-104.5444,0
59,9.83333333333,5899.1262,6216.1528,0,-317.0266,0
60,10,5902.2196,6409.5941,0,-507.3745,0
61,10.1666666667,5897.4793,6599.3808,0,-701.9015,0
62,10.3333333333,5886.7568,6766.7204,0,-879.9636,0
63,10.5,5873.4708,6914.5923,0,-1041.1215,0
64,10.6666666667,5858.0308,7064.2053,0,-1206.1745,0
65,10.8333333333,5844.9948,7197.4315,0,-1352.4367,0
66,11,5839.0587,7303.1142,0,-1464.0555,0
67,11.1666666667,5838.7103,7387.6848,3451.0255,-5000,0
68,11.3333333333,5823.4378,7459.227,0,-1635.7892,0
69,11.5,5814.7932,7520.7191,0,-1705.9259,0
70,11.6666666667,5832.3951,7568.2039,1075.65555818,-2811.46435818,0
71,11.8333333333,5712.901,7592.1539,3120.7471,-5000,0
72,12,5519.4607,7601.0433,2918.4174,-5000,0
73,12.1666666667,5494.7907,7612.316,2882.4747,-5000,0
74,12.3333333333,5514.4524,7602.6524,2911.8,-5000,0
75,12.5,5485.829,7554.1872,2931.6418,-5000,0
76,12.6666666667,5462.3628,7472.7384,2989.6244,-5000,0
77,12.8333333333,5566.1066,7393.4172,0,-1827.3106,0
78,13,5725.7548,7312.7979,0,-1587.0431,0
79,13.1666666667,5739.4957,7194.541,0,-1455.0453,0
